"dwc.preparations","freq"
"EtOH - 675",2
"EtOH - 68|skeleton - 1",2
"EtOH - 684",2
"EtOH - 7|skeleton - 12",2
"EtOH - 70|C&S - 3",2
"EtOH - 703",2
"EtOH - 707",2
"EtOH - 71|C&S - 2",2
"EtOH - 71|skeleton - 1",2
"EtOH - 710",2
"EtOH - 715",2
"EtOH - 72|C&S - 2",2
"EtOH - 72|C&S - 3",2
"EtOH - 72|C&S - 4",2
"EtOH - 72|skeleton - 1",2
"EtOH - 726",2
"EtOH - 73|C&S - 2",2
"EtOH - 736",2
"EtOH - 74|C&S - 2",2
"EtOH - 745",2
"EtOH - 746",2
"EtOH - 746|C&S - 4",2
"EtOH - 76|C&S - 3",2
"EtOH - 76|C&S - 4",2
"EtOH - 76|C&S - 5",2
"EtOH - 77|C&S - 2",2
"EtOH - 77|C&S - 3",2
"EtOH - 77|C&S - 5",2
"EtOH - 78|C&S - 2",2
"EtOH - 78|C&S - 3",2
"EtOH - 782",2
"EtOH - 79|C&S - 2",2
"EtOH - 79|C&S - 3",2
